delay,întârziere
reset,resetare
lone,singuratic
lucas,lucas
id,id
browser,browser-ul
save,salva
quilt,quilt
magnet,magnet
designer,designer
alliance,alianța
malpractice,malpraxis
exemption,scutirea
burlington,burlington
circle,cerc
sullivan,sullivan
drew,drew
create,crea
superb,superb
agriculture,agricultura
necessity,necesitatea
few,câteva
renewal,reînnoirea
fine,bine
raising,creșterea
dim,dim
class,clasa
brighton,brighton
cedar,cedru
dying,moarte
absent,absent
won,a câștigat
missouri,missouri
accurate,exacte
worth,valoare
african,african
eating,consumul de
whale,balena
scanner,scanner
baseline,de bază
cloud,cloud
criminal,penal
village,sat
substantial,substanțiale
victor,victor
queens,queens
personal,personal
longer,mai mult
seventh,a șaptea
vulnerability,vulnerabilitate
beverage,băuturi
rob,rob
impossible,imposibil
chambers,camere
electoral,electorale
prospective,viitorii
belly,burta
shock,șoc
display,display
confidence,încrederea
decrease,scădere
bullet,bullet
technique,tehnica
warren,warren
sleeping,de dormit
johnson,johnson
candle,lumanare
shakespeare,shakespeare
expert,expert
continuity,continuitatea
miami,miami
d,d
catering,catering
window,fereastra
water,apa
opera,opera
outreach,mobilizare
guard,garda
amendment,amendamentul
pest,pest
oral,oral
villa,villa
hollow,gol
judges,judecătorii
effects,efecte
shipping,transport
alloy,aliaj
gore,gore
command,comanda
mechanics,mecanica
hardwood,lemn de esenta tare
gateway,gateway
nationally,la nivel național
amateur,amatori
subscribe,aboneaza-te
roulette,ruleta
painted,vopsit
efficiently,eficient
shade,umbra
visitor,vizitator
finding,găsirea
test,test
resistance,rezistenta
purse,geanta
growth,creșterea
backing,suport
form,forma
aquatic,acvatice
johnston,johnston
supervision,supravegherea
headset,cască
delicious,delicios
sixth,a șasea
parts,piese
access,acces
biodiversity,biodiversitatea
zinc,zinc
cave,pestera
chancellor,cancelarul
automobile,automobile
alleged,presupusa
mistake,greseala
court,curtea
quarter,trimestru
copyrighted,drepturi de autor
collectible,colectie
detailed,detaliate
sought,a căutat
chubby,dolofan
folder,folder
minus,minus
frost,frost
footwear,încălțăminte
fossil,fosili
superintendent,superintendentul
inch,inch
ivory,fildeș
diving,scufundări
goal,scopul
cafe,cafe
involvement,implicarea
transparency,transparența
cooper,cooper
duncan,duncan
commonwealth,commonwealth
judge,judecător
clearing,compensare
defend,apăra
cheque,cec
sender,expeditorul
bouquet,buchet
endless,fără sfârșit
uruguay,uruguay
defeat,învinge
leave,lasa
far,departe
make,face
treasurer,trezorier
participation,participarea
directly,direct
microwave,cuptor cu microunde
deep,adânc
classic,clasic
notification,notificare
attachment,atașament
cab,taxi
homeless,fără adăpost
subsequent,ulterior
fishing,pescuit
likelihood,probabilitatea
keyboard,tastatura
grant,grant
engineering,inginerie
contest,concurs
modeling,modelare
combining,combinarea
stuart,stuart
recycling,reciclare
kennedy,kennedy
harassment,hărțuire
automation,automatizare
buy,cumpara
theorem,teorema
distribute,distribuie
certified,certificate
split,split
cloudy,tulbure
scheme,schema
mono,mono
trim,tapiterie
sol,sol
obvious,evident
penetration,penetrare
colony,colonie
surgeon,chirurg
interact,interacționa
franklin,franklin
tough,greu
acknowledge,recunosc
individually,individual
grammar,gramatica
shed,vărsat
bonus,bonus
conversion,conversie
king,regele
debate,dezbatere
liechtenstein,liechtenstein
organize,organiza
shoe,pantofi
leone,leone
lincoln,lincoln
words,cuvinte
sea,mare
explosion,explozie
childhood,copilărie
flight,zbor
value,valoarea
biography,biografie
sealed,sigilat
coaching,coaching
band,trupa
dated,din data
running,de funcționare
illegal,ilegal
attention,atenție
rolling,rulare
oriental,oriental
lottery,loterie
malaysia,malaezia
bradford,bradford
gig,concert
moore,moore
subtle,subtil
witness,martor
plate,placa
underground,subteran
pink,roz
wave,val
electricity,de energie electrică
smoke,fum
pas,pas
substitute,substitut
franchise,franciza
buddy,amice
bite,musca
motivation,motivația
revelation,apocalipsa
matthew,matei
advance,avans
constraint,constrângere
bigger,mai mare
onion,ceapa
nominated,nominalizat
suite,suite
lodge,lodge
coordination,coordonarea
subdivision,compartimentare
half,jumătate
must,trebuie să
rather,mai degrabă
magnitude,amploarea
saying,spune
take,ia
tent,cort
hawaii,hawaii
response,răspuns
plane,avionul
paste,paste
delayed,amânată
understood,înțeles
minute,minute
inflation,inflația
anti,anti
cubic,cubic
equilibrium,echilibru
object,obiect
terrorism,terorismul
size,dimensiune
exploration,explorare
dinner,cina
hospital,spital
substantially,în mod substanțial
reception,recepție
early,mai devreme
bridge,pod
november,noiembrie
apparent,evident
promote,promovarea
legislature,legiuitorul
guilty,vinovat
physics,fizica
spatial,spațiale
respondent,respondent
valve,supapa
questionnaire,chestionar
triumph,triumf
gorgeous,superba
addiction,dependenta
pair,pereche
hearts,inimile
above,de mai sus
hope,sper
icon,icoana
techno,techno
syndication,de sindicalizare
strong,puternic
december,decembrie
mercury,mercur
rest,restul
sunrise,sunrise
abandoned,abandonat
array,matrice
fist,pumnul
kelly,kelly
recommendation,recomandare
stack,stiva
crew,echipa
perform,efectua
buck,buck
clinton,clinton
girlfriend,prietena
f,f
investigation,ancheta
petersburg,petersburg
print,print
bond,bond
floor,podea
brunswick,brunswick
happen,se intampla
instruction,instrucțiuni
gear,de viteze
jacob,jacob
cargo,cargo
around,în jurul
walk,de mers pe jos
queen,regina
keeping,păstrarea
dedicated,dedicat
march,martie
productivity,productivitatea
vacuum,vid
sometimes,uneori
incorrect,incorecte
sun,soare
backed,sprijinit
separate,separat
mail,e-mail
pittsburgh,pittsburgh
literary,literare
rainbow,curcubeu
plus,plus
token,token
serve,servi
camera,camera
passive,pasiv
month,luna
shanghai,shanghai
drilling,foraj
growing,în creștere
iran,iran
argue,susțin
carpet,covor
successfully,cu succes
karaoke,karaoke
video,video
gain,câștig
ruby,ruby
satin,satin
universal,universal
benjamin,benjamin
held,a avut loc
consolidated,consolidate
namibia,namibia
everywhere,peste tot
raised,ridicat
perception,percepția
easy,ușor
lovely,minunat
arbitration,arbitraj
student,student
item,articol
mr,dl.
applied,aplicat
motor,motor
midnight,la miezul nopții
architectural,arhitectural
entitled,dreptul
support,suport
physically,fizic
designed,proiectat
euro,euro
cradle,cradle
nu,nu
currency,moneda
belief,credința
greensboro,greensboro
gravity,greutate
pill,pastila
chat,chat
fault,vina
engage,se angajeze
clean,curat
boating,plimbare cu barca
property,proprietate
challenge,provocare
atmospheric,atmosferice
norm,norma
infectious,infecțioase
lightweight,ușor
implementation,punerea în aplicare
israeli,israelian
refer,consultați
continuous,continuă
inside,în interiorul
clarity,claritate
advocate,avocat
lamb,miel
racing,curse
glasgow,glasgow
ongoing,în curs de desfășurare
deputy,adjunct
mouse,mouse-ul
volunteer,voluntar
computer,calculator
reveal,dezvăluie
border,de frontieră
welsh,welsh
box,cutie
vermont,vermont
hollywood,hollywood
joke,gluma
eden,eden
central,central
palace,palatul
io,io
roberts,roberts
enlarge,extindeți
controversial,controversat
holder,titular
geneva,geneva
champion,campion
bristol,bristol
coalition,coaliția
municipality,municipalitatea
calculator,calculator
album,album
edinburgh,edinburgh
cabin,cabină
oracle,oracle
zambia,zambia
boxing,box
small,mici
creative,creative
concerned,în cauză
press,apăsați
restoration,restaurare
andorra,andorra
mambo,mambo
consumer,consum
economics,economie
ticket,bilet
realize,dai seama
impressed,impresionat
while,în timp ce
paintball,paintball
genetics,genetica
nearest,cel mai apropiat
bloom,bloom
layer,strat
forget,uita
boot,boot
cameroon,camerun
soup,supa
tin,tin
prince,prințul
territory,teritoriul
rates,ratele
fight,lupta
springfield,springfield
arbitrary,arbitrare
watch,ceas
corn,porumb
sympathy,simpatie
province,provincia
party,petrecere
atlantic,atlantic
volume,volumul
tour,tur
carrier,transport
less,mai puțin
programming,programare
republican,republican
nutrition,nutriție
analyze,analiza
palmer,palmer
purpose,scopul
logical,logic
charter,carta
queensland,queensland
houston,houston
yield,randament
landing,aterizare
doll,papusa
chair,scaun
friend,prieten
editor,editor
aaron,aaron
company,compania
pride,mândria
marijuana,marijuana
desirable,de dorit
fig,fig
alter,alter
hanging,agățat
surprised,surprins
crime,crima
belong,e locul
remove,elimina
ranch,ferma
breeding,reproducere
venice,veneția
rachel,rachel
diagram,diagrama
caring,grija
whole,tot
gnu,gnu
render,render
salmon,somon
swiss,swiss
electric,electric
minneapolis,minneapolis
tee,tee
waiting,așteptare
highlight,evidențiați
mauritius,mauritius
firewall,firewall
recreational,agrement
diversity,diversitatea
afraid,frica
canyon,canyon
probability,probabilitatea
drain,scurgere
responsibility,responsabilitatea
newman,newman
impression,impresie
gibson,gibson
forestry,silvicultură
provision,furnizarea
jamaica,jamaica
characteristic,caracteristic
basically,practic
starting,incepand
escape,escape
cam,cam
three,trei
intent,intenția
guam,guam
postal,poștale
working,de lucru
botswana,botswana
bicycle,bicicleta
time,timp
quick,rapid
strategic,strategic
dual,dual
gross,brut
spouse,soț
logo,logo-ul
turkish,turcă
aging,imbatranire
biological,biologice
born,născut
mini,mini
pay,plata
suited,potrivit
brutal,brutal
fake,fals
write,scrie
partner,partener
particular,special
williams,williams
affected,afectate
debt,datoria
montreal,montreal
revision,revizuirea
specific,specifice
discrete,discrete
consent,acordul
clark,clark
tank,rezervor
pillow,perna
adventure,aventura
committed,angajat
place,loc
christianity,creștinismul
titanium,titan
radio,radio
orientation,orientarea
shooting,fotografiere
flux,flux
detroit,detroit
receiver,receptor
uganda,uganda
heart,inima
acquire,dobândi
psychiatry,psihiatrie
petroleum,petroliere
filling,umplere
k,k
northeast,nord-est
tunnel,tunel
entry,intrarea
career,cariera
louis,louis
insert,introduce
sexually,sexual
plumbing,instalatii sanitare
grain,cereale
hispanic,hispanici
tomorrow,mâine
t,t
name,numele
assistant,asistent
normally,în mod normal
joint,comun
tea,ceai
changed,s-a schimbat
conduct,conduită
exclude,exclude
overseas,de peste mări
column,coloana
fin,fin
knock,bat
soccer,fotbal
banner,banner
prophet,profetul
wrapping,ambalaj
wrestling,wrestling
aircraft,aeronave
element,element
baseball,baseball
advice,sfaturi
law,legea
near,aproape
fatal,fatal
motion,mișcare
monster,monstru
trio,trio
jefferson,jefferson
porcelain,portelan
train,tren
accent,accent
cyprus,cipru
mods,mods
storm,furtuna
sociology,sociologie
lost,pierdut
entrance,intrarea
aviation,aviație
procurement,achiziții publice
jacket,jacheta
anthony,anthony
philippines,filipine
notebook,notebook
visit,vizita
wise,înțelept
advancement,avansare
cover,capac
samoa,samoa
still,încă
stations,stații
alternate,alternativ
mold,mucegai
capable,capabil
yes,da
teddy,teddy
latter,urmă
democrat,democrat
interpretation,interpretarea
architect,arhitect
mounted,montat
moldova,moldova
campaign,campanie
background,fundal
kitchen,bucătărie
worker,lucrător
well,bine
thanks,multumesc
collaborative,colaborare
continental,continental
at,la
headed,condus
winter,iarna
pleasure,placere
diagnostic,diagnostic
cherry,cherry
ethical,etice
varying,diferite
focus,focus
spend,petrece
bone,os
rope,coarda
starter,starter
organ,organ
championship,campionatul
compilation,compilatie
provider,furnizor
recent,recent
jay,jay
guarantee,garanție
rescue,salvare
strain,tulpina
twelve,doisprezece
chaos,haos
entity,entitate
appearance,aspectul
transit,tranzit
removal,îndepărtarea
skiing,schi
cancer,cancer
chad,chad
cross,cruce
once,o dată
format,format
nothing,nimic
linear,liniar
community,comunitate
extract,extras
safe,în condiții de siguranță
established,stabilit
islam,islamul
publisher,persoana
racial,rasiale
recipient,destinatar
bridal,mireasa
husband,soțul
appendix,apendicele
continually,continuu
brad,brad
ministry,ministerul
creator,creatorul
hook,cârlig
draw,trage
administrator,administrator
death,moartea
suspension,suspensie
spirituality,spiritualitate
detector,detector
partnership,parteneriat
delivery,livrare
fiber,fibre
arabic,arabă
scenic,scenic
difference,diferenta
proved,s-a dovedit
embedded,încorporat
mitchell,mitchell
harris,harris
bangladesh,bangladesh
cartoon,desene animate
notice,notificare
sequence,secvență
permission,permisiunea
loose,vrac
wine,vin
providence,providence
authorization,autorizație
constant,constanta
slot,slot
convinced,convins
composite,compozit
priority,prioritate
nightmare,coșmar
broadcasting,de radiodifuziune
watts,watts
label,eticheta
processor,procesor
will,va
ability,capacitatea de
maintenance,întreținere
sigma,sigma
angle,unghi
ink,cerneală
insured,asigurate
technician,tehnician
progress,progresul
bill,proiect de lege
thong,tanga
hudson,hudson
cleared,eliminat
trying,încercarea de
synthesis,sinteza
confusion,confuzie
leather,piele
define,defini
christian,christian
fortune,avere
participant,participant
prescription,baza de prescriptie medicala
follow,urmați
thin,subțire
riverside,riverside
sale,vanzare
capacity,capacitate
consciousness,constiinta
garbage,gunoi
anna,anna
con,con
howard,howard
robertson,robertson
shore,mal
aside,în afară
warner,warner
willow,willow
royalty,royalty
hearing,audiere
century,lea
education,educație
investigator,investigator
stake,miza
purple,violet
amend,modifica
one,unul
sand,nisip
feature,caracteristică
kingston,kingston
heading,poziția
farming,agricultura
holocaust,holocaust
ultimately,în cele din urmă
introductory,introductivă
valuable,valoroase
hazard,pericol
lens,obiectiv
classics,classics
chance,sansa
primarily,în primul rând
muslim,musulman
differential,diferențial
optimum,optimă
persian,persan
learn,afla
helicopter,elicopter
decimal,zecimal
score,scor
tattoo,tatuaj
export,export
transition,tranziție
short,scurt
stress,stres
none,nici unul
hack,hack
defensive,defensiv
mailing,corespondență
animated,animate
sudden,brusc
communication,comunicare
fireplace,semineu
ski,schi
ukraine,ucraina
liberia,liberia
further,continuare
flex,flex
featured,recomandate
plain,simplu
episode,episod
again,din nou
finder,finder
cornell,cornell
ward,ward
art,arta
peripheral,periferice
sin,păcat
li,li
sweden,suedia
january,ianuarie
rapid,rapidă
international,internaționale
heather,heather
healthcare,asistență medicală
solid,solid
waters,apele
built,construit
possess,posedă
frequently,frecvent
falls,cade
suspect,suspect
drove,condus
sonic,sonic
april,aprilie
punk,punk
reasonably,în mod rezonabil
dig,sape
wash,se spală
swing,swing
ethiopia,etiopia
forth,mai departe
concert,concert
badly,prost
like,ca
elder,vârstnicul
dimension,dimensiune
nervous,nervos
team,echipa
marvel,marvel
opposition,opoziția
peer,peer
era,epoca
speak,vorbesc
myth,mit
microphone,microfon
fluid,lichid
forecast,zile
construction,construcții
therapist,terapeut
anthropology,antropologie
pad,pad
abortion,avort
auckland,auckland
pursue,continue
barrier,bariera
circus,circ
storage,depozitare
allergy,alergie
confident,încrezător
multiple,mai multe
ranging,variind de
battery,baterie
xerox,xerox
balanced,echilibrat
connect,conectați
ware,ware
hundred,sute de
package,pachet
verbal,verbale
another,un alt
selected,selectate
twins,gemeni
cardiovascular,cardiovasculare
comedy,comedie
certification,certificare
liabilities,datorii
gossip,barfa
opening,deschiderea
allow,permite
applicant,solicitant
transformation,transformarea
milk,lapte
shirt,tricou
reproduction,reproducerea
airline,compania aeriană
withdrawal,retragerea
note,notă
clinic,clinica
ripe,coapte
fuji,fuji
renaissance,renaissance
cuisine,bucătăria
renewable,regenerabile
june,iunie
mumbai,mumbai
j,j
piano,pian
reasoning,raționament
guy,tip
slowly,încet
green,verde
ordering,comanda
comment,comentariu
journalist,jurnalist
silence,tăcere
beam,fascicul
courtesy,curtoazie
depression,depresie
framing,încadrarea
alarm,alarma
beads,margele
latvia,letonia
period,perioada
surrounded,înconjurat
writing,scris
enlargement,extindere
shoot,trage
silent,silent
stable,stabil
fraud,frauda
thomson,thomson
english,engleză
martin,martin
phase,faza
along,de-a lungul
false,false
rate,rata
product,produs
sailing,navigatie
respect,respect
facing,se confruntă
infrastructure,infrastructura
pastor,pastor
lending,de creditare
lead,plumb
magazine,revista
drive,mașina
frederick,frederick
elect,alege
investor,investitor
jason,jason
adjustment,ajustare
hebrew,ebraică
reason,motiv
asbestos,azbest
register,registrul
clerk,funcționar
satellite,prin satelit
hamilton,hamilton
killer,criminalul
companion,companion
rating,rating
generation,generație
symbol,simbol
confirm,confirma
screening,screening-ul
apply,aplica
recently,recent
calvin,calvin
hungry,foame
try,încercați
toilet,toaleta
delight,incanta
upset,supărat
communist,comunist
empire,imperiul
chicago,chicago
evolution,evoluția
scott,scott
perceived,perceput
folk,folk
george,george
disk,disc
characterization,caracterizarea
flush,culoare
double,dublu
track,piesa
increasing,creșterea
briefing,briefing
bible,biblia
browse,naviga
rural,rurale
warrant,mandat
in,în
heavily,puternic
reality,realitatea
cliff,cliff
observer,observator
packaging,ambalare
helen,helen
constantly,în mod constant
dakota,dakota
gamma,gamma
seat,scaun
diverse,diverse
accredited,acreditat
niagara,niagara
least,puțin
population,populație
authority,autoritatea
webster,webster
variance,varianța
potential,potențialul
phoenix,phoenix
circuit,circuit
automatically,automat
lawsuit,proces
particularly,deosebit de
teens,adolescenti
rotation,rotație
revenge,răzbunare
construct,construct
mustang,mustang
machinery,utilaje
ballot,vot
sole,talpa
birthday,ziua de nastere
job,locuri de muncă
regular,regulat
dramatic,dramatic
vault,seif
streaming,streaming
dover,dover
face,fata
dense,dens
between,între
yukon,yukon
beginning,începutul
abroad,în străinătate
immediately,imediat
saturday,sâmbătă
power,putere
interval,interval
sublime,sublim
right,chiar
hawaiian,hawaiian
canadian,canadian
funky,funky
custom,personalizate
en,ro
monday,luni
naval,naval
rabbit,iepure
patient,pacientul
sir,domnule
treaty,tratatul
classification,clasificarea
goat,capra
fancy,fantezie
intention,intenția
trick,truc
drinking,bea
marine,marin
privilege,privilegiul
ethnic,etnice
last,ultima
ice,gheață
oman,oman
airfare,biletele de avion
push,împinge
healing,vindecare
effort,efort
accessory,accesoriu
park,parcare
trust,încredere
wide,larg
ideal,ideal
unauthorized,neautorizate
voluntary,voluntariat
square,pătrat
mainland,continent
festival,festivalul
talented,talentat
poll,sondaj
capital,capital
apache,apache
violent,violente
birth,naștere
orlando,orlando
afghanistan,afganistan
consist,consta
cycling,ciclism
leaf,frunze
dale,dale
stopped,oprit
appropriate,corespunzătoare
local,locale
sunday,duminică
mix,se amestecă
pulse,puls
philadelphia,philadelphia
billy,billy
appliance,aparat
olive,de măsline
move,muta
artwork,opera de arta
savannah,savannah
gene,gene
collaboration,colaborare
narrative,narativ
here,aici
daisy,daisy
target,țintă
cancellation,anulare
formed,format
discipline,disciplina
verify,verifica
relative,relativă
ottawa,ottawa
stopping,oprirea
occasion,ocazie
miniature,miniatura
quantity,cantitatea
sodium,de sodiu
remind,reamintesc
turtle,broasca testoasa
cleaners,aspiratoare
jonathan,jonathan
typing,tastarea
prime,prim
rat,rat
rebound,- si revina
helping,ajuta
medical,medicale
links,link-uri
apparently,se pare că
key,cheie
apollo,apollo
quiet,liniște
amsterdam,amsterdam
site,site-ul
utility,utilitate
italic,italic
capture,captura
highly,extrem de
jackson,jackson
game,joc
qualify,se califica
hay,hay
basement,subsol
herbal,pe bază de plante
lung,pulmonar
investment,investiții
focused,concentrat
pontiac,pontiac
thank,multumesc
criticism,critica
ignored,ignorat
billion,miliarde de euro
lunch,masa de prânz
biology,biologie
ownership,dreptul de proprietate
optimization,optimizare
medline,medline
leisure,petrecere a timpului liber
based,bazat
internal,interne
satisfactory,satisfăcătoare
mortgage,ipoteca
gregory,gregory
cabinet,cabinet
ensemble,ansamblul
missile,rachete
weather,vreme
homework,temele
coach,antrenorul
flying,zbor
tsunami,tsunami
each,fiecare
earth,pământ
bang,bang
mask,masca
satisfied,mulțumit
delhi,delhi
bat,bat
wall,perete
centre,centrul
relation,raport
bowling,bowling
diamond,diamant
meet,cunosc
drop,drop
dictionary,dicționar
are,sunt
prefer,prefera
container,container
amplifier,amplificator
levy,levy
grove,grove
table,tabelul
wealth,avere
cure,leac
title,titlu
bernard,bernard
supply,aprovizionare
rolled,laminate
information,informații
control,control
maritime,maritime
photography,fotografie
represent,reprezintă
friday,vineri
stanford,stanford
representation,reprezentarea
antique,antic
disposal,eliminare
ion,ion
wherever,oriunde
sponsorship,sponsorizare
penn,penn
put,pune
holy,sfânt
assist,ajuta
cinema,cinema
side,partea
annually,anual
expanded,extins
referenced,face referire
shark,rechin
making,face
macintosh,macintosh
hood,capota
administrative,administrative
obviously,evident
lighter,bricheta
difficult,greu
contemporary,contemporan
paris,paris
cheap,ieftin
graduate,absolvent
much,mult
arc,arc
greeting,salut
directive,directiva
hamburg,hamburg
presidential,prezidențiale
deck,punte
cognitive,cognitive
drawn,trase
safely,în condiții de siguranță
wildlife,animale sălbatice
nike,nike
frontier,frontiera
acute,acută
venture,risc
madagascar,madagascar
spectrum,spectrul
buried,îngropat
postage,poștale
moderate,moderat
crude,brut
trip,excursie
summary,rezumat
textbook,manual
blogger,blogger
blink,blink
narrow,înguste
astrology,astrologie
formal,formal
ordinary,obișnuiți
dean,dean
need,nevoie
frequent,frecvente
travel,călătorie
echo,echo
hammer,ciocan
privacy,confidențialitate
resistant,rezistent
source,sursa
color,culoare
return,reveni
actor,actor
premium,premium
pilot,pilot
ballet,balet
sight,vedere
father,tatăl
spice,spice
asset,activ
comfortable,confortabil
sydney,sydney
numeric,numeric
offer,oferta
para,para
buffalo,buffalo
thanksgiving,ziua recunostintei
kick,lovi cu piciorul
farmer,fermier
introduction,introducere
polish,poloneză
treatment,tratament
mali,mali
opponent,adversarul
worcester,worcester
prototype,prototip
drum,tambur
alive,în viață
a,o
doe,doe
emperor,împăratul
even,chiar
weighted,ponderat
radius,raza
oak,stejar
verified,verificate
gary,gary
reference,referință
author,autor
recovery,recuperare
fundamental,fundamentale
agreed,de acord
pleased,multumit
sauce,sos
approximately,aproximativ
heard,auzit
forward,înainte
newport,newport
sorted,sortate
odd,ciudat
sensitive,sensibil
elizabeth,elizabeth
ace,ace
integrity,integritatea
bed,pat
wanted,a vrut
consensus,consens
human,umane
steal,fura
entire,întreaga
summer,vara
trailer,trailer
chronic,cronica
driven,condus
sage,salvie
fourth,a patra
extend,extinde
lender,creditor
sold,vândut
pearl,pearl
compiler,compiler
runner,runner
carnival,carnaval
bubble,bubble
dog,câine
discover,descoperi
mysterious,misterios
elephant,elefant
underwear,lenjerie de corp
chess,șah
creation,crearea
google,google
classified,clasificate
hours,ore
tune,tune
fix,fix
dice,zaruri
guitar,chitara
stereo,stereo
eugene,eugene
mpeg,mpeg
every,fiecare
testament,testament
mortality,mortalitatea
consistent,în concordanță
input,intrare
sustainable,durabilă
occupational,profesionale
offense,supărare
durham,durham
decreased,a scăzut
permit,permis
oven,cuptor
minimal,minim
engagement,logodna
conscious,conștient
thread,fir
malta,malta
differently,altfel
show,show
honor,onoare
dust,praf
rhythm,ritmul
million,milioane de
south,sud
personalized,personalizate
slip,alunecare
past,trecut
excerpt,extras
legislative,legislative
fun,distracție
go,du-te
tumor,tumora
spring,primavara
prefix,prefix
fabric,tesatura
major,majore
definition,definiție
iron,fier
marshall,marshall
limited,limitat
endorsement,aprobare
distributor,distribuitor
knee,genunchi
practical,practic
james,james
affecting,afectează
rick,rick
funk,funk
blocked,blocat
difficulty,dificultate
carol,carol
beneficial,benefic
relevance,relevanța
secondary,secundar
capitol,capitol
actively,activ
solved,rezolvate
hartford,hartford
agency,agenția
pi,pi
active,active
personally,personal
wu,wu
standing,în picioare
trash,gunoi
covered,acoperite
official,oficial
fish,pește
root,root
ham,ham
barbados,barbados
bundle,pachet
hazardous,periculoase
enhancement,accesoriu
possibility,posibilitatea
port,port
moving,mișcare
discretion,discreție
myrtle,myrtle
flip,flip
bankruptcy,faliment
bull,taur
configured,configurat
signal,semnal
chick,tipa
tourism,turism
portugal,portugalia
emerging,emergente
mason,mason
evanescence,evanescence
foreign,externe
leg,picior
cleaner,curat
alike,la fel
england,anglia
mar,mar
jury,juriul
delete,șterge
east,est
evaluation,evaluare
swaziland,swaziland
pope,papa
female,de sex feminin
alias,alias
chamber,camera
africa,africa
similarly,în mod similar
either,fie
gasoline,benzina
palestine,palestina
option,opțiune
blond,blond
full,plin
eyed,ochi
plenty,o multime
hart,hart
accepted,acceptat
celebrate,sărbători
reno,reno
improving,îmbunătățirea
bomb,bomba
ghana,ghana
bookmark,bookmark
bias,bias
kuwait,kuweit
wisdom,înțelepciunea
taken,luate
burke,burke
employment,ocuparea forței de muncă
pray,rog
doctor,doctor
snow,zăpadă
township,comuna
seal,sigiliu
allied,aliate
destroyed,distrus
heating,încălzire
eligibility,eligibilitate
millennium,millennium
mouth,gura
chocolate,ciocolata
left,stânga
internationally,la nivel internațional
twice,de două ori
california,california
geek,geek
heater,încălzire
mongolia,mongolia
nudist,de nudisti
profit,profit
authorized,autorizat
acquired,dobândite
belfast,belfast
condition,starea
stainless,inoxidabil
luxury,de lux
kernel,kernel
invest,investi
integration,integrarea
school,scoala
interview,interviu
hygiene,igiena
blessed,binecuvântat
intense,intens
winning,câștigătoare
observation,observație
abuse,abuz
important,important
reflect,reflecta
nowhere,nicăieri
individual,individuale
compile,compila
educated,educat
classical,clasic
remark,remarca
investing,investi
across,peste
adam,adam
wagner,wagner
pump,pompa
constitute,constituie
tomato,tomate
naughty,obraznic
anime,anime
soviet,sovietice
roller,role
geography,geografie
stretch,stretch
iraq,irak
accompanied,însoțită
iraqi,irakian
telephone,telefon
annex,anexa
behind,în urmă
cellular,celulare
sky,cer
next,următoarea
understanding,înțelegerea
novelty,noutate
truck,camion
cant,cant
brooks,brooks
newly,nou
invention,invenție
frequency,frecvența
quebec,quebec
tutorial,tutorial
colon,colon
redhead,roscata
pull,trage
grave,mormânt
incentive,stimulent
cordless,fără fir
discovery,descoperire
horizontal,orizontală
costs,costurile
rich,bogat
anymore,mai
production,producție
talk,vorbim
white,alb
southern,sud
award,premiul
testimony,mărturia
floppy,floppy
violation,încălcarea
planned,planificate
throat,gât
colleague,colegul
quality,calitate
substance,substanță
entrepreneur,antreprenor
confirmation,confirmarea
sink,chiuveta
don,nu
boost,boost
requested,solicitat
hash,hash
windsor,windsor
ebony,abanos
radiation,radiații
honolulu,honolulu
busy,ocupat
interest,interes
sticky,sticky
reaction,reacție
off,off
brazil,brazilia
catalyst,catalizator
lace,dantela
alabama,alabama
manhattan,manhattan
fashion,moda
comparison,comparație
island,insula
returning,revenind
principal,directorul
canal,canal
cannon,tun
grid,grila
newfoundland,newfoundland
selection,selecție
menu,meniu
expensive,scump
weight,greutate
czech,cehă
placed,plasat
ban,ban
approach,abordare
freeze,freeze
child,copil
meditation,meditație
disabled,dezactivate
weapon,arma
consistency,coerența
boat,barca
material,material
tradition,tradiția
ethics,etica
evaluate,evaluarea
jet,jet
review,review
beaver,castor
rwanda,rwanda
midwest,midwest
iowa,iowa
maker,filtru
same,același
professional,profesionale
configure,configurați
rise,creșterea
younger,tineri
firmware,firmware
lawn,gazon
diabetes,diabet
missing,lipsește
critical,critică
gap,diferența
begin,începe
sewing,de cusut
procedure,procedura
free,gratuit
encoding,codare
position,poziția
applicable,aplicabile
movie,film
troy,troy
documentary,documentar
limiting,limitarea
four,patru
ferry,de feribot
reduced,redus
madison,madison
raleigh,raleigh
acrylic,acril
elimination,eliminarea
digital,digital
male,de sex masculin
meal,masa
plug,plug
portal,portal
environmental,de mediu
retention,retenție
absence,lipsa
mesh,ochiurilor de plasă
jean,jean
virginia,virginia
independently,independent
relax,relaxați-vă
suggest,sugerez
india,india
printing,imprimare
initially,inițial
tray,tava
settle,rezolva
criterion,criteriu
brooklyn,brooklyn
informative,informativ
carbon,de carbon
sample,proba
cluster,cluster
bet,pariu
welding,sudare
detection,detectarea
comparative,comparativ
camcorder,camera video
offensive,ofensiva
curtis,curtis
slovak,slovacă
appear,apar
soap,săpun
contract,contract
thing,lucru
top,top
metropolitan,metropolitan
neighborhood,cartier
celtic,celtic
finger,degetul
affect,afecta
leu,leu
soul,sufletul
mug,cana
successful,succes
directed,regizat
enclosed,închise
junior,junior
lesser,mai mică
mass,masa
web,web
formula,formula
consideration,considerare
m,m
affairs,afaceri
about,despre
h,h
vietnamese,vietnameză
continuously,continuu
guess,cred
mime,mime
heavy,grele
joshua,joshua
meaningful,semnificativ
mountain,munte
varied,variate
ra,ra
wrap,folie
westminster,westminster
